GSM149579	GSM149580	GSM149581	GSM149582	GSM149583	GSM149584	GSM149585	GSM149586	GSM149587	GSM149588	GSM149589	GSM149590	GSM149591	GSM149592	GSM149593	GSM149594	GSM149595	GSM149596	GSM149597	GSM149598
Valine, leucine and isoleucine degradation (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Valine, leucine and isoleucine biosynthesis (KEGG)	-1	-1	-1	-1	-1	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
Lysine degradation (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Arginine and proline metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Histidine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	1	-1	-1
Tyrosine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Phenylalanine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Tryptophan metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	-1
beta-Alanine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
Taurine and hypotaurine metabolism (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenocompound metabolism (KEGG)	-1	-1	-1	-1	-1	-1	0	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0
Cyanoamino acid metabolism (KEGG)	0	0	-1	-1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
Glutathione metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Starch and sucrose metabolism (KEGG)	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
N-Glycan biosynthesis (KEGG)	-1	-1	0	0	-1	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1	-1	-1
Other glycan degradation (KEGG)	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0
Mucin type O-Glycan biosynthesis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other types of O-glycan biosynthesis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
Amino sugar and nucleotide sugar metabolism (KEGG)	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	-1
Glycosaminoglycan degradation (KEGG)	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	-1	0
Glycosaminoglycan biosynthesis - chondroitin sulfate (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glycosaminoglycan biosynthesis - keratan sulfate (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
Glycosaminoglycan biosynthesis - heparan sulfate (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Glycerolipid metabolism (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	0	0	0
Inositol phosphate metabolism (KEGG)	1	1	0	1	0	1	0	0	-1	0	0	-1	0	0	1	1	1	1	0	0
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG)	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Glycerophospholipid metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Ether lipid metabolism (KEGG)	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0
Arachidonic acid metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Linoleic acid metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
alpha-Linolenic acid metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Sphingolipid metabolism (KEGG)	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis - lacto and neolacto series (KEGG)	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
Glycosphingolipid biosynthesis - globo series (KEGG)	0	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0
Glycosphingolipid biosynthesis - ganglio series (KEGG)	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Glyoxylate and dicarboxylate metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Propanoate metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Butanoate metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
One carbon pool by folate (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riboflavin metabolism (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitamin B6 metabolism (KEGG)	-1	0	-1	-1	-1	-1	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1
Nicotinate and nicotinamide metabolism (KEGG)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pantothenate and CoA biosynthesis (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1
Folate biosynthesis (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	1	0
Retinol metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	1	-1	-1
Porphyrin and chlorophyll metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	1
Terpenoid backbone biosynthesis (KEGG)	-1	-1	-1	-1	0	0	0	0	0	0	1	1	0	0	0	-1	0	0	0	-1
Nitrogen metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Sulfur metabolism (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoacyl-tRNA biosynthesis (KEGG)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	1	0
Metabolism of xenobiotics by cytochrome P450 (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Drug metabolism - cytochrome P450 (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Drug metabolism - other enzymes (KEGG)	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1
Biosynthesis of unsaturated fatty acids (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Metabolic pathways (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ABC transporters (KEGG)	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	0	0	1	1	1	1
Ribosome biogenesis in eukaryotes (KEGG)	0	0	0	0	0	0	1	1	1	1	1	1	0	0	-1	-1	-1	-1	0	-1
Ribosome (KEGG)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	0	-1
RNA transport (KEGG)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	1	0
mRNA surveillance pathway (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
RNA degradation (KEGG)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
RNA polymerase (KEGG)	-1	-1	-1	-1	0	0	1	0	1	1	1	1	0	0	-1	-1	-1	-1	-1	-1
Basal transcription factors (KEGG)	0	0	0	0	0	0	0	0	1	1	1	1	0	1	-1	-1	0	-1	0	0
DNA replication (KEGG)	0	0	0	0	0	0	1	1	1	1	1	1	1	1	-1	0	0	0	1	1
Spliceosome (KEGG)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
Proteasome (KEGG)	-1	-1	0	0	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
Protein export (KEGG)	0	0	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1
PPAR signaling pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
Base excision repair (KEGG)	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1
Nucleotide excision repair (KEGG)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	0	0	1	1
Mismatch repair (KEGG)	0	0	1	1	0	1	1	1	1	1	1	1	1	1	-1	-1	0	0	1	1
Homologous recombination (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non-homologous end-joining (KEGG)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
MAPK signaling pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
ErbB signaling pathway (KEGG)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Calcium signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytokine-cytokine receptor interaction (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemokine signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Phosphatidylinositol signaling system (KEGG)	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Neuroactive ligand-receptor interaction (KEGG)	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	0	0	-1	-1
Cell cycle (KEGG)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
Oocyte meiosis (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	0	1	1
p53 signaling pathway (KEGG)	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
Ubiquitin mediated proteolysis (KEGG)	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	1	0
Sulfur relay system (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
SNARE interactions in vesicular transport (KEGG)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Regulation of autophagy (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Protein processing in endoplasmic reticulum (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Lysosome (KEGG)	-1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	0	0	1	0	0	-1	-1
Endocytosis (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Phagosome (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Peroxisome (KEGG)	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	1	1	-1	-1
mTOR signaling pathway (KEGG)	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1
Apoptosis (KEGG)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Cardiac muscle contraction (KEGG)	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	-1
Vascular smooth muscle contraction (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt signaling pathway (KEGG)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Dorso-ventral axis formation (KEGG)	-1	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	1	1	1	0	-1	-1
Notch signaling pathway (KEGG)	-1	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
Hedgehog signaling pathway (KEGG)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
TGF-beta signaling pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Axon guidance (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEGF signaling pathway (KEGG)	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Osteoclast differentiation (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Focal adhesion (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
ECM-receptor interaction (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell adhesion molecules (CAMs) (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adherens junction (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Tight junction (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Gap junction (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Complement and coagulation cascades (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Antigen processing and presentation (KEGG)	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
Renin-angiotensin system (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toll-like receptor signaling pathway (KEGG)	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0
NOD-like receptor signaling pathway (KEGG)	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0
RIG-I-like receptor signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytosolic DNA-sensing pathway (KEGG)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Jak-STAT signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hematopoietic cell lineage (KEGG)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Natural killer cell mediated cytotoxicity (KEGG)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T cell receptor signaling pathway (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B cell receptor signaling pathway (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fc epsilon RI signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Fc gamma R-mediated phagocytosis (KEGG)	0	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	0	1	1	1	1	0	0
Leukocyte transendothelial migration (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinal immune network for IgA production (KEGG)	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0
Circadian rhythm - mammal (KEGG)	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Long-term potentiation (KEGG)	0	0	1	1	0	0	0	0	0	0	-1	-1	0	1	1	1	1	1	-1	-1
Neurotrophin signaling pathway (KEGG)	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	1	1	0	1	-1	-1
Glutamatergic synapse (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Long-term depression (KEGG)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
Olfactory transduction (KEGG)	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	0	0	-1	0	-1	-1
Taste transduction (KEGG)	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
Phototransduction (KEGG)	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1
Regulation of actin cytoskeleton (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Insulin signaling pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
GnRH signaling pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1
Progesterone-mediated oocyte maturation (KEGG)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	0	0	0
Melanogenesis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adipocytokine signaling pathway (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0
Type II diabetes mellitus (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0
Type I diabetes mellitus (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Maturity onset diabetes of the young (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Aldosterone-regulated sodium reabsorption (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocrine and other factor-regulated calcium reabsorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vasopressin-regulated water reabsorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Proximal tubule bicarbonate reclamation (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collecting duct acid secretion (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
Salivary secretion (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gastric acid secretion (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreatic secretion (KEGG)	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Carbohydrate digestion and absorption (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein digestion and absorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Fat digestion and absorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bile secretion (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
Vitamin digestion and absorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Mineral absorption (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
Alzheimer's disease (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Parkinson's disease (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Amyotrophic lateral sclerosis (ALS) (KEGG)	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1
Huntington's disease (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Prion diseases (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Bacterial invasion of epithelial cells (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vibrio cholerae infection (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Epithelial cell signaling in Helicobacter pylori infection (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Pathogenic Escherichia coli infection (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1
Shigellosis (KEGG)	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	-1	-1
Leishmaniasis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chagas disease (American trypanosomiasis) (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	-1
African trypanosomiasis (KEGG)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0
Malaria (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toxoplasmosis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebiasis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus infection (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuberculosis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Hepatitis C (KEGG)	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0
Measles (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Influenza A (KEGG)	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0
Pathways in cancer (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
